POYRAZOGLU_YIGIT 3.967
MEMBER_IN MORGAN_ROSALIE 21.610
MEMBER_IN BEZOS_YVONNE 76.383
MEMBER_IN RIZZI_BRADLEY 7.286
MEMBER_IN STANKOVIC_HANNAH 43.636
MEMBER_IN ADELSON_BEVERLY 51.535
MEMBER_IN JESUS_BLAKE 84.297
MEMBER_IN JOBS_MORGAN 17.356
MEMBER_IN SOYLU_WES 89.198
MEMBER_IN KAMINSKI_MARK 51.722
MEMBER_IN MARIC_BETH 88.899
MEMBER_IN ERDOGAN_GWENDOLYN 74.230
MEMBER_IN ERBAKAN_MARTA 77.154
MEMBER_IN SOYLU_DARRYL 57.025
MEMBER_IN KAMINSKI_MARC 63.954
MEMBER_IN JESUS_NICOLAS 71.507
MEMBER_IN MBAPPE_ALICIA 44.396
MEMBER_IN BEZOS_RUBEN 50.094
MEMBER_IN POYRAZOGLU_MARIAN 89.873
MEMBER_IN MARIC_BERT 15.714
MEMBER_IN SALAH_JILL 61.370
MEMBER_IN DEMIREL_JOEL 52.572
MEMBER_IN JANKOWSKI_VANESSA 49.865
MEMBER_IN KOWALCZYK_SIMON 20.603
MEMBER_IN ERBAKAN_SANDRA 2.691
MEMBER_IN POYRAZOGLU_DENISE 1.073
MEMBER_IN WOJCIECHOWSKI_HEIDI 69.947
MEMBER_IN MARIC_JAYNE 60.226
MEMBER_IN ERBAKAN_JEREMIAH 95.227
MEMBER_IN KOWALSKI_FAYE 10.992
MEMBER_IN PETROVIC_SETH 34.069
MEMBER_IN INONU_HEIDI 37.000
MEMBER_IN GOTTI_SHELIA 83.319
MEMBER_IN SLIM_JAVIER 9.785
MEMBER_IN PEKER_KENNETH 39.991
MEMBER_IN STOJANOVIC_OLIVIA 40.809
MEMBER_IN MANE_LEO 71.251
MEMBER_IN WOJCIECHOWSKI_MARIAN 35.175
MEMBER_IN MANE_LES 46.954
MEMBER_IN TESSIO_ORLANDO 72.843
MEMBER_IN KAMINSKI_MARLA 39.219
MEMBER_IN SLIM_FRANCINE 29.992
MEMBER_IN TERIM_ALYSSA 78.647
MEMBER_IN HEISENBERG_DIANE 83.314
MEMBER_IN HEISENBERG_DIANA 68.795
MEMBER_IN KWIATKOWSKI_TRICIA 52.005
MEMBER_IN GUS_LORNA 34.551
MEMBER_IN PENTANGELI_WILLARD 56.254
MEMBER_IN GATES_MIKE 70.286
MEMBER_IN GATES_DORA 28.069
MEMBER_IN KACZMAREK_JEFF 75.201
MEMBER_IN ADELSON_KYLE 85.921
MEMBER_IN JOVANOVIC_TRACI 81.606
MEMBER_IN CORLEONE_LUCINDA 93.635
MEMBER_IN YILMAZ_DENA 4.569
MEMBER_IN ADELSON_IRA 38.914
MEMBER_IN BUFFETT_KATE 10.492
MEMBER_IN IVANOVIC_KEN 40.100
MEMBER_IN KARTAL_ANA 52.534
MEMBER_IN ZIELINSKI_GABRIELA 44.225
MEMBER_IN ERDOGAN_BONITA 87.170
MEMBER_IN WOJCIK_EDMUND 28.590
MEMBER_IN SZYMCZAK_KELVIN 38.885
MEMBER_IN JOVANOVIC_TRACY 7.799
MEMBER_IN ESCOBAR_PENNY 49.220
MEMBER_IN KOWALCZYK_KRYSTAL 62.508
MEMBER_IN KOWALCZYK_TRACY 77.406
MEMBER_IN WOJCIK_ZACHARY 3.276
MEMBER_IN PINKMAN_CORINNE 41.621
MEMBER_IN JANKOWSKI_SOPHIA 36.110
MEMBER_IN ESCOBAR_WILLARD 47.399
MEMBER_IN TADIC_DOUGLAS 38.454
MEMBER_IN TERIM_LUIS 62.128
MEMBER_IN KOCAMAN_BERNADETTE 61.232
MEMBER_IN PENTANGELI_JAMIE 14.075
MEMBER_IN BONANNO_MORRIS 61.003
MEMBER_IN KOCAMAN_KRIS 32.366
MEMBER_IN LEWANDOWSKI_ANNIE 53.526
MEMBER_IN INONU_STANLEY 55.000
MEMBER_IN PENTANGELI_DOUG 29.212
MEMBER_IN TERIM_LUKE 92.177
MEMBER_IN STANKOVIC_WILLARD 89.094
MEMBER_IN WALTON_ANITA 68.676
MEMBER_IN SZYMCZAK_MARSHALL 6.905
MEMBER_IN LUCCHESE_HOWARD 74.266
MEMBER_IN SOYLU_DIANA 56.552
MEMBER_IN PINKMAN_OKAN 42.082
