KILIC_EMRE 64.762
MEMBER_IN MORGAN_ROSALIE 97.994
MEMBER_IN BEZOS_YVONNE 32.654
MEMBER_IN RIZZI_BRADLEY 40.506
MEMBER_IN STANKOVIC_HANNAH 78.335
MEMBER_IN ADELSON_BEVERLY 68.998
MEMBER_IN JESUS_BLAKE 90.584
MEMBER_IN JOBS_MORGAN 84.753
MEMBER_IN SOYLU_WES 60.857
MEMBER_IN KAMINSKI_MARK 7.136
MEMBER_IN MARIC_BETH 71.508
MEMBER_IN ERDOGAN_GWENDOLYN 62.730
MEMBER_IN ERBAKAN_MARTA 9.000
MEMBER_IN SOYLU_DARRYL 82.032
MEMBER_IN KAMINSKI_MARC 88.345
MEMBER_IN JESUS_NICOLAS 75.664
MEMBER_IN MBAPPE_ALICIA 17.667
MEMBER_IN BEZOS_RUBEN 27.473
MEMBER_IN POYRAZOGLU_MARIAN 41.752
MEMBER_IN MARIC_BERT 68.640
MEMBER_IN SALAH_JILL 36.472
MEMBER_IN DEMIREL_JOEL 3.522
MEMBER_IN JANKOWSKI_VANESSA 83.687
MEMBER_IN KOWALCZYK_SIMON 38.192
MEMBER_IN ERBAKAN_SANDRA 89.543
MEMBER_IN POYRAZOGLU_DENISE 23.541
MEMBER_IN WOJCIECHOWSKI_HEIDI 2.464
MEMBER_IN MARIC_JAYNE 4.886
MEMBER_IN ERBAKAN_JEREMIAH 84.726
MEMBER_IN KOWALSKI_FAYE 9.518
MEMBER_IN PETROVIC_SETH 0.038
MEMBER_IN INONU_HEIDI 37.287
MEMBER_IN GOTTI_SHELIA 91.805
MEMBER_IN SLIM_JAVIER 88.189
MEMBER_IN PEKER_KENNETH 58.755
MEMBER_IN STOJANOVIC_OLIVIA 5.454
MEMBER_IN MANE_LEO 10.536
MEMBER_IN WOJCIECHOWSKI_MARIAN 52.802
MEMBER_IN MANE_LES 7.791
MEMBER_IN TESSIO_ORLANDO 73.284
MEMBER_IN KAMINSKI_MARLA 49.651
MEMBER_IN SLIM_FRANCINE 34.168
MEMBER_IN TERIM_ALYSSA 90.945
MEMBER_IN HEISENBERG_DIANE 20.262
MEMBER_IN HEISENBERG_DIANA 91.184
MEMBER_IN KWIATKOWSKI_TRICIA 13.200
MEMBER_IN GUS_LORNA 17.801
MEMBER_IN PENTANGELI_WILLARD 18.688
MEMBER_IN GATES_MIKE 48.129
MEMBER_IN GATES_DORA 22.025
MEMBER_IN KACZMAREK_JEFF 21.257
MEMBER_IN ADELSON_KYLE 52.921
MEMBER_IN JOVANOVIC_TRACI 42.959
MEMBER_IN CORLEONE_LUCINDA 96.882
MEMBER_IN YILMAZ_DENA 93.472
MEMBER_IN ADELSON_IRA 39.177
MEMBER_IN BUFFETT_KATE 22.641
MEMBER_IN IVANOVIC_KEN 80.210
MEMBER_IN KARTAL_ANA 13.544
MEMBER_IN ZIELINSKI_GABRIELA 3.368
MEMBER_IN ERDOGAN_BONITA 4.765
MEMBER_IN WOJCIK_EDMUND 14.472
MEMBER_IN SZYMCZAK_KELVIN 6.432
MEMBER_IN JOVANOVIC_TRACY 95.265
MEMBER_IN ESCOBAR_PENNY 77.624
MEMBER_IN KOWALCZYK_KRYSTAL 90.453
MEMBER_IN KOWALCZYK_TRACY 77.760
MEMBER_IN WOJCIK_ZACHARY 78.617
MEMBER_IN PINKMAN_CORINNE 25.505
MEMBER_IN JANKOWSKI_SOPHIA 41.661
MEMBER_IN ESCOBAR_WILLARD 50.766
MEMBER_IN TADIC_DOUGLAS 98.833
MEMBER_IN TERIM_LUIS 70.446
MEMBER_IN KOCAMAN_BERNADETTE 64.797
MEMBER_IN PENTANGELI_JAMIE 29.405
MEMBER_IN BONANNO_MORRIS 62.430
