OZDEMIR_YUNUSEMRE 51.700
MEMBER_IN MORGAN_ROSALIE 97.106
MEMBER_IN BEZOS_YVONNE 80.596
MEMBER_IN RIZZI_BRADLEY 32.791
MEMBER_IN STANKOVIC_HANNAH 49.469
MEMBER_IN ADELSON_BEVERLY 77.477
MEMBER_IN JESUS_BLAKE 12.782
MEMBER_IN JOBS_MORGAN 39.011
MEMBER_IN SOYLU_WES 48.268
MEMBER_IN KAMINSKI_MARK 37.968
MEMBER_IN MARIC_BETH 9.637
INTEL_DIVIDE
MEMBER_IN ERDOGAN_GWENDOLYN 64.947
MEMBER_IN ERBAKAN_MARTA 85.557
MEMBER_IN SOYLU_DARRYL 35.200
MEMBER_IN KAMINSKI_MARC 77.672
MEMBER_IN JESUS_NICOLAS 86.302
MEMBER_IN MBAPPE_ALICIA 36.871
MEMBER_IN BEZOS_RUBEN 74.290
MEMBER_IN POYRAZOGLU_MARIAN 82.156
MEMBER_IN MARIC_BERT 63.892
MEMBER_IN SALAH_JILL 6.633
INTEL_DIVIDE
MEMBER_IN DEMIREL_JOEL 26.022
MEMBER_IN JANKOWSKI_VANESSA 79.454
MEMBER_IN KOWALCZYK_SIMON 75.543
MEMBER_IN ERBAKAN_SANDRA 3.761
MEMBER_IN POYRAZOGLU_DENISE 37.208
MEMBER_IN WOJCIECHOWSKI_HEIDI 78.835
MEMBER_IN MARIC_JAYNE 15.923
MEMBER_IN ERBAKAN_JEREMIAH 32.061
MEMBER_IN KOWALSKI_FAYE 27.323
MEMBER_IN PETROVIC_SETH 68.886
INTEL_DIVIDE
MEMBER_IN INONU_HEIDI 36.125
MEMBER_IN GOTTI_SHELIA 86.794
MEMBER_IN SLIM_JAVIER 7.245
MEMBER_IN PEKER_KENNETH 8.861
MEMBER_IN STOJANOVIC_OLIVIA 64.049
MEMBER_IN MANE_LEO 79.161
MEMBER_IN WOJCIECHOWSKI_MARIAN 1.270
MEMBER_IN MANE_LES 51.985
MEMBER_IN TESSIO_ORLANDO 68.274
MEMBER_IN KAMINSKI_MARLA 83.284
INTEL_DIVIDE
MEMBER_IN SLIM_FRANCINE 18.848
MEMBER_IN TERIM_ALYSSA 3.605
MEMBER_IN HEISENBERG_DIANE 21.181
MEMBER_IN HEISENBERG_DIANA 48.715
MEMBER_IN KWIATKOWSKI_TRICIA 34.047
MEMBER_IN GUS_LORNA 19.450
MEMBER_IN PENTANGELI_WILLARD 31.207
MEMBER_IN GATES_MIKE 78.509
MEMBER_IN GATES_DORA 73.805
MEMBER_IN KACZMAREK_JEFF 33.752
INTEL_DIVIDE
MEMBER_IN ADELSON_KYLE 41.306
MEMBER_IN JOVANOVIC_TRACI 94.682
MEMBER_IN CORLEONE_LUCINDA 59.532
MEMBER_IN YILMAZ_DENA 44.742
MEMBER_IN ADELSON_IRA 89.093
MEMBER_IN BUFFETT_KATE 56.528
MEMBER_IN IVANOVIC_KEN 50.230
MEMBER_IN KARTAL_ANA 96.351
MEMBER_IN ZIELINSKI_GABRIELA 50.798
MEMBER_IN ERDOGAN_BONITA 14.358
INTEL_DIVIDE
MEMBER_IN WOJCIK_EDMUND 46.101
MEMBER_IN SZYMCZAK_KELVIN 82.514
MEMBER_IN JOVANOVIC_TRACY 15.120
MEMBER_IN ESCOBAR_PENNY 76.517
MEMBER_IN KOWALCZYK_KRYSTAL 11.685
MEMBER_IN KOWALCZYK_TRACY 66.717
MEMBER_IN WOJCIK_ZACHARY 11.461
MEMBER_IN PINKMAN_CORINNE 46.746
MEMBER_IN JANKOWSKI_SOPHIA 41.906
MEMBER_IN ESCOBAR_WILLARD 45.709
INTEL_DIVIDE
MEMBER_IN TADIC_DOUGLAS 87.676
MEMBER_IN TERIM_LUIS 52.951
MEMBER_IN KOCAMAN_BERNADETTE 5.338
MEMBER_IN PENTANGELI_JAMIE 22.968
MEMBER_IN BONANNO_MORRIS 25.867
MEMBER_IN KOCAMAN_KRIS 19.089
MEMBER_IN LEWANDOWSKI_ANNIE 45.730
MEMBER_IN INONU_STANLEY 30.241
MEMBER_IN PENTANGELI_DOUG 71.965
MEMBER_IN TERIM_LUKE 57.218
INTEL_DIVIDE
MEMBER_IN STANKOVIC_WILLARD 77.585
MEMBER_IN WALTON_ANITA 34.813
MEMBER_IN SZYMCZAK_MARSHALL 91.526
MEMBER_IN LUCCHESE_HOWARD 71.704
MEMBER_IN SOYLU_DIANA 98.831
MEMBER_IN PINKMAN_OKAN 99.200
MEMBER_IN BENZEMA_SUE 13.711
MEMBER_IN KOWALCZYK_TRACI 92.993
MEMBER_IN SOYLU_DIANE 50.467
MEMBER_IN AGUERO_DICK 98.150
INTEL_DIVIDE
MEMBER_IN JESUS_JASON 12.110
MEMBER_IN HEISENBERG_MICHEAL 43.762
MEMBER_IN PEKER_RENEE 37.915
MEMBER_IN PETROVIC_TRACIE 70.399
MEMBER_IN WOJCIECHOWSKI_STANLEY 49.606
MEMBER_IN MESSI_WHITNEY 85.606
MEMBER_IN SOYLU_LEAH 30.213
MEMBER_IN KAMINSKI_MATT 50.820
MEMBER_IN JESUS_DENNIS 84.618
MEMBER_IN DEMIREL_JODI 72.609
INTEL_DIVIDE
MEMBER_IN MARIC_JACQUELINE 73.915
MEMBER_IN MANE_LIZ 29.085
MEMBER_IN KOCAMAN_HEATHER 42.349
MEMBER_IN MANCINI_DARYL 4.351
MEMBER_IN SOYLU_MARGUERITE 59.392
MEMBER_IN DEMIREL_JODY 87.967
MEMBER_IN ZIELINSKI_MARCIA 45.171
MEMBER_IN STRACCI_CHERYL 17.575
MEMBER_IN KAMINSKI_MARIA 66.381
MEMBER_IN TADIC_WESLEY 62.632
INTEL_DIVIDE
MEMBER_IN PENTANGELI_KAGAN 94.729
MEMBER_IN JANKOWSKI_VICKI 19.622
MEMBER_IN TADIC_TRICIA 57.898
MEMBER_IN TATTAGLIA_EDNA 65.158
MEMBER_IN ROTH_JUAN 18.700
MEMBER_IN AGUERO_GRETCHEN 76.983
MEMBER_IN CORLEONE_ROSEMARIE 32.594
MEMBER_IN NOWAK_FRANCES 33.717
MEMBER_IN KILIC_JESSICA 0.919
MEMBER_IN JOVANOVIC_SIMON 40.446
INTEL_DIVIDE
MEMBER_IN SOYLU_JUANA 98.215
MEMBER_IN ROTSHCHILD_ARMANDO 64.997
MEMBER_IN SOPRANO_KELVIN 93.336
MEMBER_IN MANCINI_JULIUS 83.924
MEMBER_IN KAMINSKI_MARIO 7.026
MEMBER_IN ELLISON_CANDY 73.985
MEMBER_IN POYRAZOGLU_VERNON 11.964
MEMBER_IN KAMINSKI_MARIE 70.440
MEMBER_IN KAYA_MARTHA 12.597
MEMBER_IN KAMINSKI_MARY 40.057
INTEL_DIVIDE
MEMBER_IN ROTH_JUDY 78.144
MEMBER_IN MOEGREENE_CARLOS 35.262
MEMBER_IN MARKOVIC_REGINALD 70.886
MEMBER_IN ZUCKERBERG_JENNIFER 59.860
MEMBER_IN KAYA_JANETTE 39.419
MEMBER_IN POYRAZOGLU_GRANT 10.810
MEMBER_IN NIKOLIC_SHELLY 82.186
MEMBER_IN PENTANGELI_JAMES 48.012
MEMBER_IN CLEMENZA_LUIS 12.637
MEMBER_IN JESUS_FRANKLIN 93.208
INTEL_DIVIDE
MEMBER_IN HEISENBERG_TAMMY 87.787
MEMBER_IN BENZEMA_KARA 81.928
MEMBER_IN FORD_CHARLES 47.311
MEMBER_IN KNEZEVIC_ANTHONY 84.651
MEMBER_IN KILIC_STACIE 17.126
MEMBER_IN MESSI_RANDALL 83.680
MEMBER_IN GUZMAN_GUSTAVO 50.971
MEMBER_IN ROSATO_MADELINE 61.446
MEMBER_IN HEISENBERG_JUANA 92.647
MEMBER_IN BENZEMA_CESAR 49.541
INTEL_DIVIDE
MEMBER_IN JOBS_HOWARD 5.759
MEMBER_IN KAYA_TROY 42.036
MEMBER_IN GOTTI_CHARLENE 34.000
MEMBER_IN ROSATO_CLAUDIA 60.432
MEMBER_IN SOYLU_LENA 19.335
MEMBER_IN COLOMBO_KELLI 81.343
MEMBER_IN KWIATKOWSKI_LEIGH 79.335
MEMBER_IN SALAH_STACIE 85.358
MEMBER_IN SZYMANSKI_JESSICA 95.845
MEMBER_IN CLEMENZA_LUKE 64.922
INTEL_DIVIDE
MEMBER_IN KAMINSKI_MARTA 42.233
MEMBER_IN FORD_JULIAN 12.923
MEMBER_IN MANE_LEIGH 97.661
MEMBER_IN JESUS_LENA 46.883
MEMBER_IN BENZEMA_MARILYN 13.583
MEMBER_IN KILIC_STACEY 73.807
MEMBER_IN NOWAK_YIGIT 87.205
MEMBER_IN BENZEMA_KARL 61.402
MEMBER_IN COLOMBO_JERRY 81.970
MEMBER_IN PEKER_YVONNE 84.632
INTEL_DIVIDE
MEMBER_IN ZIELINSKI_BERNARD 32.955
MEMBER_IN STANKOVIC_ANGELO 15.720
MEMBER_IN BENZEMA_KATE 71.470
MEMBER_IN GENOVESE_MINNIE 65.605
MEMBER_IN BENZEMA_GENEVA 10.055
MEMBER_IN WOZNIAK_KAREN 43.638
MEMBER_IN MORGAN_MATT 82.504
MEMBER_IN TADIC_PETE 91.482
MEMBER_IN KAYA_ROBERT 2.037
MEMBER_IN GENOVESE_MUSTAFA 77.350
INTEL_DIVIDE
MEMBER_IN GUZMAN_NATALIE 30.346
MEMBER_IN COLOMBO_GINGER 36.515
MEMBER_IN RIZZI_MOLLY 76.850
MEMBER_IN NOWAK_JUANA 63.741
MEMBER_IN MESSI_CLYDE 71.752
MEMBER_IN MARIC_CLIFTON 28.329
MEMBER_IN BARZINI_LILLIAN 43.093
MEMBER_IN GATES_EDITH 45.716
MEMBER_IN RONALDO_GREG 8.131
MEMBER_IN ZIELINSKI_RAQUEL 6.339
INTEL_DIVIDE
MEMBER_IN KAYA_GLEN 65.273
MEMBER_IN WHITE_ABIGAIL 87.491
MEMBER_IN FORD_CHARLIE 49.220
MEMBER_IN BENZEMA_GEOFFREY 92.165
MEMBER_IN KOWALCZYK_ARTURO 32.928
MEMBER_IN NIKOLIC_SHELIA 65.550
MEMBER_IN RIZZI_LORNA 48.607
MEMBER_IN ROSATO_ARTHUR 57.332
MEMBER_IN MARIC_FRED 89.078
MEMBER_IN DEMIR_LYNETTE 43.785
INTEL_DIVIDE
MEMBER_IN MORGAN_MARC 99.596
MEMBER_IN STANKOVIC_HEATHER 48.182
MEMBER_IN ESCOBAR_HEATHER 97.623
MEMBER_IN KILIC_SUE 77.201
MEMBER_IN MORGAN_MARK 36.157
MEMBER_IN LUCCHESE_DELIA 25.703
MEMBER_IN GUS_LOREN 69.316
MEMBER_IN NIKOLIC_HILDA 87.281
MEMBER_IN SALAH_STACEY 37.832
MEMBER_IN WOJCIK_DAVID 94.386
INTEL_DIVIDE
MEMBER_IN SOYLU_TAMMY 43.582
MEMBER_IN ZUCKERBERG_DENISE 15.959
MEMBER_IN MORGAN_MARY 3.890
